GroupLevel1_Pretreatment,GroupLevel2_Treatment,HRP_ngml
Gaviscon Advanced,pH4,3.292857143
Gaviscon Advanced,pH4,3.511904762
Gaviscon Advanced,pH4,3.30952381
Gaviscon Advanced,pH4,3.35952381
Gaviscon Advanced,pH4,2.926190476
Gaviscon Advanced,0.1% Tx-100 ,3.414285714
Gaviscon Advanced,0.1% Tx-100 ,3.361904762
Gaviscon Advanced,0.1% Tx-100 ,3.228571429
Gaviscon Advanced,0.1% Tx-100 ,3.542857143
Gaviscon Advanced,0.1% Tx-100 ,4.235714286
Gaviscon Advanced,0.1% Tx-100 ,3.628571429
Gaviscon Advanced,0.1% Tx-100 ,3.8
Gaviscon Advanced,0.1% Tx-100 ,3.454761905
Gaviscon Dual Action,Control pH7.4,4.561904762
Gaviscon Dual Action,Control pH7.4,4.264285714
Gaviscon Dual Action,Control pH7.4,NA
Gaviscon Dual Action,Control pH7.4,5.135714286
Gaviscon Dual Action,Control pH7.4,4.783333333
Gaviscon Dual Action,Control pH7.4,5.714285714
Gaviscon Dual Action,Control pH7.4,4.933333333
Gaviscon Dual Action,Control pH7.4,4.74047619
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.283333333
Gaviscon Dual Action,"1mg/ml pepsin, pH6",NA
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.502380952
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.176190476
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.766666667
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.05952381
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.176190476
Gaviscon Dual Action,"1mg/ml pepsin, pH6",4.307142857
Gaviscon Dual Action,"1mg/ml pepsin, pH5",3.669047619
Gaviscon Dual Action,"1mg/ml pepsin, pH5",4.147619048
Gaviscon Dual Action,"1mg/ml pepsin, pH5",3.388095238
Gaviscon Dual Action,"1mg/ml pepsin, pH5",2.628571429
Gaviscon Dual Action,"1mg/ml pepsin, pH5",2.578571429
Gaviscon Dual Action,"1mg/ml pepsin, pH5",2.883333333
Gaviscon Dual Action,"1mg/ml pepsin, pH5",2.59047619
Gaviscon Dual Action,"1mg/ml pepsin, pH5",2.6
Gaviscon Dual Action,"1mg/ml pepsin, pH4",2.626190476
Gaviscon Dual Action,"1mg/ml pepsin, pH4",3.333333333
Gaviscon Dual Action,"1mg/ml pepsin, pH4",3.264285714
Gaviscon Dual Action,"1mg/ml pepsin, pH4",2.076190476
Gaviscon Dual Action,"1mg/ml pepsin, pH4",3.233333333
Gaviscon Dual Action,"1mg/ml pepsin, pH4",2.883333333
Gaviscon Dual Action,"1mg/ml pepsin, pH4",2.25
Gaviscon Dual Action,"1mg/ml pepsin, pH4",2.930952381
Gaviscon Dual Action,pH4,2.70952381
Gaviscon Dual Action,pH4,2.061904762
Gaviscon Dual Action,pH4,2.742857143
Gaviscon Dual Action,pH4,NA
Gaviscon Dual Action,pH4,2.65952381
Gaviscon Dual Action,pH4,3.166666667
Gaviscon Dual Action,pH4,3.111904762
Gaviscon Dual Action,pH4,2.947619048
Gaviscon Dual Action,0.1% Tx-100 ,3.747619048
Gaviscon Dual Action,0.1% Tx-100 ,3.895238095
Gaviscon Dual Action,0.1% Tx-100 ,2.2
Gaviscon Dual Action,0.1% Tx-100 ,3.561904762
Gaviscon Dual Action,0.1% Tx-100 ,3.369047619
Gaviscon Dual Action,0.1% Tx-100 ,3.557142857
Gaviscon Dual Action,0.1% Tx-100 ,4.661904762
Gaviscon Dual Action,0.1% Tx-100 ,3.823809524
