GroupLevel1_Pretreatment,GroupLevel2_Treatment,HRP_ngml
No Pretreatment,Control pH7.4,8.977272727
No Pretreatment,Control pH7.4,7.987012987
No Pretreatment,Control pH7.4,8.493506494
No Pretreatment,Control pH7.4,8.123376623
No Pretreatment,Control pH7.4,9.061688312
No Pretreatment,Control pH7.4,7.561688312
No Pretreatment,Control pH7.4,8.461038961
No Pretreatment,Control pH7.4,8.922077922
No Pretreatment,"1mg/ml pepsin, pH6",10.00974026
No Pretreatment,"1mg/ml pepsin, pH6",9.717532468
No Pretreatment,"1mg/ml pepsin, pH6",9.74025974
No Pretreatment,"1mg/ml pepsin, pH6",10.05519481
No Pretreatment,"1mg/ml pepsin, pH6",9.769480519
No Pretreatment,"1mg/ml pepsin, pH6",9.853896104
No Pretreatment,"1mg/ml pepsin, pH6",9.86038961
No Pretreatment,"1mg/ml pepsin, pH6",10.52597403
No Pretreatment,"1mg/ml pepsin, pH5",19.5487013
No Pretreatment,"1mg/ml pepsin, pH5",22.90584416
No Pretreatment,"1mg/ml pepsin, pH5",20.71103896
No Pretreatment,"1mg/ml pepsin, pH5",18.02272727
No Pretreatment,"1mg/ml pepsin, pH5",22.48376623
No Pretreatment,"1mg/ml pepsin, pH5",21.14935065
No Pretreatment,"1mg/ml pepsin, pH5",17.22077922
No Pretreatment,"1mg/ml pepsin, pH5",20.69805195
No Pretreatment,"1mg/ml pepsin, pH4",20.40909091
No Pretreatment,"1mg/ml pepsin, pH4",21.83116883
No Pretreatment,"1mg/ml pepsin, pH4",22.82792208
No Pretreatment,"1mg/ml pepsin, pH4",21.44805195
No Pretreatment,"1mg/ml pepsin, pH4",21.73051948
No Pretreatment,"1mg/ml pepsin, pH4",21.95454545
No Pretreatment,"1mg/ml pepsin, pH4",19.03246753
No Pretreatment,"1mg/ml pepsin, pH4",NA
No Pretreatment,pH4,6.275974026
No Pretreatment,pH4,5.301948052
No Pretreatment,pH4,5.808441558
No Pretreatment,pH4,6.36038961
No Pretreatment,pH4,5.535714286
No Pretreatment,pH4,5.357142857
No Pretreatment,pH4,4.951298701
No Pretreatment,pH4,4.99025974
No Pretreatment,0.1% Tx-100 ,15.16233766
No Pretreatment,0.1% Tx-100 ,12.46753247
No Pretreatment,0.1% Tx-100 ,12.69805195
No Pretreatment,0.1% Tx-100 ,14.58441558
No Pretreatment,0.1% Tx-100 ,13.6461039
No Pretreatment,0.1% Tx-100 ,13.96428571
No Pretreatment,0.1% Tx-100 ,13.76948052
No Pretreatment,0.1% Tx-100 ,16.13311688
Placebo,Control pH7.4,9.422077922
Placebo,Control pH7.4,8.779220779
Placebo,Control pH7.4,10.08116883
Placebo,Control pH7.4,12.58766234
Placebo,Control pH7.4,13.1038961
Placebo,Control pH7.4,11.0487013
Placebo,Control pH7.4,12.21428571
Placebo,Control pH7.4,10.55519481
Placebo,"1mg/ml pepsin, pH6",14.96103896
Placebo,"1mg/ml pepsin, pH6",11.60714286
Placebo,"1mg/ml pepsin, pH6",13.33441558
Placebo,"1mg/ml pepsin, pH6",12.33441558
Placebo,"1mg/ml pepsin, pH6",15.31493506
Placebo,"1mg/ml pepsin, pH6",14.03246753
Placebo,"1mg/ml pepsin, pH6",14.53571429
Placebo,"1mg/ml pepsin, pH6",14.3538961
Placebo,"1mg/ml pepsin, pH5",16.28896104
Placebo,"1mg/ml pepsin, pH5",15.41233766
Placebo,"1mg/ml pepsin, pH5",15.68181818
Placebo,"1mg/ml pepsin, pH5",17.17857143
Placebo,"1mg/ml pepsin, pH5",17.58441558
Placebo,"1mg/ml pepsin, pH5",17.3474026
Placebo,"1mg/ml pepsin, pH5",17.27922078
Placebo,"1mg/ml pepsin, pH5",16.22402597
Placebo,"1mg/ml pepsin, pH4",14.71753247
Placebo,"1mg/ml pepsin, pH4",18.73051948
Placebo,"1mg/ml pepsin, pH4",18.06818182
Placebo,"1mg/ml pepsin, pH4",19.81818182
Placebo,"1mg/ml pepsin, pH4",22.71753247
Placebo,"1mg/ml pepsin, pH4",23.12662338
Placebo,"1mg/ml pepsin, pH4",21.32142857
Placebo,"1mg/ml pepsin, pH4",20.37662338
Placebo,pH4,7.496753247
Placebo,pH4,8.905844156
Placebo,pH4,9.288961039
Placebo,pH4,8.912337662
Placebo,pH4,8.912337662
Placebo,pH4,8.584415584
Placebo,pH4,7.704545455
Placebo,pH4,8.409090909
